"Year","matmort","neomort","under5mort","infantmort","ISO"
2000,NA,NA,NA,NA,"ABW"
2001,NA,NA,NA,NA,"ABW"
2002,NA,NA,NA,NA,"ABW"
2003,NA,NA,NA,NA,"ABW"
2004,NA,NA,NA,NA,"ABW"
2005,NA,NA,NA,NA,"ABW"
2006,NA,NA,NA,NA,"ABW"
2007,NA,NA,NA,NA,"ABW"
2008,NA,NA,NA,NA,"ABW"
2009,NA,NA,NA,NA,"ABW"
2010,NA,NA,NA,NA,"ABW"
2011,NA,NA,NA,NA,"ABW"
2012,NA,NA,NA,NA,"ABW"
2013,NA,NA,NA,NA,"ABW"
2014,NA,NA,NA,NA,"ABW"
2015,NA,NA,NA,NA,"ABW"
2016,NA,NA,NA,NA,"ABW"
2017,NA,NA,NA,NA,"ABW"
2018,NA,NA,NA,NA,"ABW"
2019,NA,NA,NA,NA,"ABW"
2000,777,37.67115207,137.5449914,85.55713132,NA
2001,751,36.86857678,132.1296314,82.53188388,NA
2002,732,36.03043776,126.4633285,79.36310008,NA
2003,710,35.1846309,120.8348265,76.24338583,NA
2004,680,34.32607447,115.4043538,73.22076952,NA
2005,643,33.50210187,110.1448593,70.28120223,NA
2006,608,32.74777947,105.2067126,67.58222948,NA
2007,577,31.97290805,100.2209939,64.90957431,NA
2008,551,31.262069,95.33053644,62.38313267,NA
2009,526,30.56522362,90.5094233,59.98633496,NA
2010,501,29.88193945,86.11572214,57.79580247,NA
2011,480,29.22051347,82.05748353,55.67965817,NA
2012,462,28.57428522,78.25007097,53.73743013,NA
2013,446,27.95688633,74.81667325,52.00407493,NA
2014,433,27.348936,71.79495789,50.41558946,NA
2015,419,26.7837127,69.13815746,48.95864126,NA
2016,408,26.22490573,66.51592775,47.52724371,NA
2017,398,25.69128825,64.24399372,46.1081401,NA
2018,NA,25.13165636,62.07293632,44.79522074,NA
2019,NA,24.5979354,60.05415038,43.59125166,NA
2000,1450,60.9,129.2,90.5,"AFG"
2001,1390,59.7,125.2,87.9,"AFG"
2002,1300,58.5,121.1,85.3,"AFG"
2003,1240,57.2,116.9,82.7,"AFG"
2004,1180,55.9,112.6,80,"AFG"
2005,1140,54.6,108.4,77.3,"AFG"
2006,1120,53.2,104.1,74.6,"AFG"
2007,1090,51.7,99.9,71.9,"AFG"
2008,1030,50.3,95.7,69.2,"AFG"
2009,993,48.9,91.7,66.7,"AFG"
2010,954,47.4,87.8,64.2,"AFG"
2011,905,46,84,61.8,"AFG"
2012,858,44.6,80.3,59.5,"AFG"
2013,810,43.2,76.9,57.3,"AFG"
2014,786,41.9,73.6,55.2,"AFG"
2015,701,40.5,70.4,53.2,"AFG"
2016,673,39.3,67.5,51.3,"AFG"
2017,638,38.2,64.8,49.5,"AFG"
2018,NA,37.2,62.3,47.9,"AFG"
2019,NA,36.1,60.1,46.4,"AFG"
2000,1000,43.95216135,169.4711147,99.16617376,NA
2001,987,42.90921397,164.3553376,96.5793404,NA
2002,973,41.84866308,158.9838056,93.92350562,NA
2003,954,40.86544028,153.6297794,91.2442253,NA
2004,924,39.90788885,148.2783528,88.57660878,NA
2005,890,39.00919165,143.1011193,86.0171123,NA
2006,858,38.21358493,138.1644716,83.53945121,NA
2007,834,37.51933436,133.4750447,81.17597055,NA
2008,821,36.88893011,129.1176461,79.00153677,NA
2009,810,36.26164215,125.0638226,77.02490628,NA
2010,798,35.69794091,121.38325,75.16024311,NA
2011,789,35.19385313,118.0393257,73.5080295,NA
2012,778,34.74189555,114.9971079,71.96530018,NA
2013,767,34.35797657,112.1911899,70.55418322,NA
2014,758,33.95211279,109.6962866,69.24899712,NA
2015,744,33.57905619,107.2916927,68.00160289,NA
2016,729,33.16771618,104.637694,66.67483055,NA
2017,717,32.72579699,102.0320864,65.31384172,NA
2018,NA,32.21974168,99.29113974,63.87577856,NA
2019,NA,31.73890801,96.49428924,62.35233279,NA
2000,827,50.3,204.4,121.5,"AGO"
2001,766,49.2,198.4,118.2,"AGO"
2002,690,48,191.5,114.5,"AGO"
2003,628,46.5,183.8,110.4,"AGO"
2004,574,45.1,175.1,105.7,"AGO"
2005,519,43.5,166.1,100.9,"AGO"
2006,473,42,156.4,95.7,"AGO"
2007,431,40.5,147,90.6,"AGO"
2008,395,39,137.7,85.5,"AGO"
2009,359,37.7,128.7,80.6,"AGO"
2010,326,36.3,120.4,75.9,"AGO"
2011,300,35.1,112.5,71.5,"AGO"
2012,281,33.8,105.1,67.4,"AGO"
2013,269,32.7,98.5,63.7,"AGO"
2014,258,31.7,92.9,60.5,"AGO"
2015,251,30.8,88.1,57.7,"AGO"
2016,246,30,84.1,55.5,"AGO"
2017,241,29.2,80.6,53.5,"AGO"
2018,NA,28.6,77.3,51.7,"AGO"
2019,NA,27.9,74.2,49.9,"AGO"
2000,23,12.1,27.2,24.1,"ALB"
2001,23,11.8,25.8,22.9,"ALB"
2002,21,11.4,24.4,21.7,"ALB"
2003,21,11.1,23,20.4,"ALB"
2004,18,10.9,21.5,19.1,"ALB"
2005,22,10.6,20,17.8,"ALB"
2006,18,10,18.5,16.6,"ALB"
2007,19,9.2,17.1,15.3,"ALB"
2008,20,8.3,15.8,14.1,"ALB"
2009,20,7.4,14.5,12.9,"ALB"
2010,21,6.7,13.3,11.8,"ALB"
2011,22,6.2,12.1,10.8,"ALB"
2012,17,6,11.2,10,"ALB"
2013,16,5.9,10.4,9.3,"ALB"
2014,16,5.9,9.9,8.8,"ALB"
2015,15,6,9.6,8.5,"ALB"
2016,16,6.3,9.4,8.4,"ALB"
2017,15,6.7,9.4,8.4,"ALB"
2018,NA,7.1,9.5,8.5,"ALB"
2019,NA,7.5,9.7,8.6,"ALB"
2000,NA,3.8,8.2,7.3,"AND"
2001,NA,3.6,7.7,6.9,"AND"
2002,NA,3.3,7.3,6.5,"AND"
2003,NA,3.2,6.9,6.2,"AND"
2004,NA,3,6.5,5.9,"AND"
2005,NA,2.9,6.1,5.6,"AND"
2006,NA,2.7,5.8,5.3,"AND"
2007,NA,2.6,5.4,5,"AND"
2008,NA,2.5,5.1,4.7,"AND"
2009,NA,2.3,4.8,4.4,"AND"
2010,NA,2.2,4.5,4.1,"AND"
2011,NA,2.1,4.2,3.9,"AND"
2012,NA,2,4,3.7,"AND"
2013,NA,1.9,3.8,3.5,"AND"
2014,NA,1.8,3.5,3.3,"AND"
2015,NA,1.7,3.3,3.1,"AND"
2016,NA,1.6,3.2,2.9,"AND"
2017,NA,1.5,3,2.8,"AND"
2018,NA,1.4,2.8,2.6,"AND"
2019,NA,1.4,2.7,2.5,"AND"
2000,250,25.43366271,60.55947269,44.09256936,NA
2001,243,24.93281577,58.68500273,42.80036294,NA
2002,235,24.44103019,56.84083698,41.50108659,NA
2003,235,23.9299708,55.05752876,40.27458816,NA
2004,226,23.37480051,53.26149867,39.03268064,NA
2005,214,22.8193077,51.51764004,37.82395227,NA
2006,211,22.23770667,49.7665975,36.61907387,NA
2007,201,21.65908974,47.994989,35.39824616,NA
2008,188,21.01697136,46.19507879,34.18125018,NA
2009,180,20.42271206,44.47126503,33.03302876,NA
2010,174,19.81082997,42.96973593,31.98699405,NA
2011,167,19.32042084,41.75459068,31.1429479,NA
2012,163,18.88427645,41.36755449,30.64680617,NA
2013,157,18.45402447,40.60593811,30.00549986,NA
2014,156,18.00301048,39.65857468,29.35539374,NA
2015,153,17.61914483,38.62730663,28.69596462,NA
2016,152,17.33249392,37.68171538,28.08376594,NA
2017,149,17.11626306,36.23137417,27.29272157,NA
2018,NA,16.87736007,35.61514683,26.82549778,NA
2019,NA,16.65764201,34.88575942,26.33280639,NA
2000,6,5.9,11.1,9.6,"ARE"
2001,6,5.7,10.9,9.3,"ARE"
2002,5,5.6,10.6,9.1,"ARE"
2003,5,5.5,10.3,8.9,"ARE"
2004,5,5.3,10.1,8.6,"ARE"
2005,5,5.2,9.8,8.4,"ARE"
2006,4,5.1,9.6,8.2,"ARE"
2007,4,5,9.4,8.1,"ARE"
2008,4,4.9,9.2,7.9,"ARE"
2009,4,4.8,8.9,7.6,"ARE"
2010,4,4.6,8.7,7.4,"ARE"
2011,4,4.5,8.4,7.2,"ARE"
2012,4,4.4,8.2,7,"ARE"
2013,3,4.3,8,6.8,"ARE"
2014,3,4.2,7.8,6.7,"ARE"
2015,3,4.1,7.6,6.5,"ARE"
2016,3,4,7.4,6.3,"ARE"
2017,3,3.9,7.2,6.2,"ARE"
2018,NA,3.8,7,6,"ARE"
2019,NA,3.7,6.8,5.8,"ARE"
2000,66,11,19.6,17.5,"ARG"
2001,67,11,18.9,16.9,"ARG"
2002,65,10.8,18.3,16.4,"ARG"
2003,65,10.3,17.7,15.8,"ARG"
2004,61,9.7,17.1,15.3,"ARG"
2005,59,9.1,16.5,14.8,"ARG"
2006,57,8.7,16.1,14.4,"ARG"
2007,56,8.4,15.7,14,"ARG"
2008,53,8.1,15.3,13.7,"ARG"
2009,56,7.8,14.9,13.3,"ARG"
2010,51,7.6,14.5,12.9,"ARG"
2011,48,7.5,13.9,12.4,"ARG"
2012,47,7.6,13.3,11.9,"ARG"
2013,44,7.4,12.7,11.3,"ARG"
2014,42,6.9,12.1,10.8,"ARG"
2015,41,6.5,11.5,10.2,"ARG"
2016,40,6.4,10.9,9.7,"ARG"
2017,39,6.3,10.3,9.2,"ARG"
2018,NA,6,9.7,8.6,"ARG"
2019,NA,5.3,9.1,8.1,"ARG"
2000,43,16.1,30.6,27,"ARM"
2001,42,15.3,29.1,25.7,"ARM"
2002,39,14.5,27.7,24.5,"ARM"
2003,38,13.8,26.3,23.3,"ARM"
2004,36,13.1,25,22.2,"ARM"
2005,35,12.5,23.7,21.1,"ARM"
2006,36,11.9,22.5,20,"ARM"
2007,32,11.3,21.4,19,"ARM"
2008,36,10.7,20.3,18.1,"ARM"
2009,32,10.1,19.2,17.2,"ARM"
2010,32,9.6,18.3,16.3,"ARM"
2011,30,9.1,17.3,15.5,"ARM"
2012,30,8.7,16.4,14.7,"ARM"
2013,26,8.2,15.6,14,"ARM"
2014,27,7.8,14.8,13.3,"ARM"
2015,28,7.4,14.1,12.6,"ARM"
2016,26,7,13.4,12,"ARM"
2017,26,6.7,12.7,11.3,"ARM"
2018,NA,6.4,12.1,10.8,"ARM"
2019,NA,6,11.5,10.2,"ARM"
2000,NA,NA,NA,NA,"ASM"
2001,NA,NA,NA,NA,"ASM"
2002,NA,NA,NA,NA,"ASM"
2003,NA,NA,NA,NA,"ASM"
2004,NA,NA,NA,NA,"ASM"
2005,NA,NA,NA,NA,"ASM"
2006,NA,NA,NA,NA,"ASM"
2007,NA,NA,NA,NA,"ASM"
2008,NA,NA,NA,NA,"ASM"
2009,NA,NA,NA,NA,"ASM"
2010,NA,NA,NA,NA,"ASM"
2011,NA,NA,NA,NA,"ASM"
2012,NA,NA,NA,NA,"ASM"
2013,NA,NA,NA,NA,"ASM"
2014,NA,NA,NA,NA,"ASM"
2015,NA,NA,NA,NA,"ASM"
2016,NA,NA,NA,NA,"ASM"
2017,NA,NA,NA,NA,"ASM"
2018,NA,NA,NA,NA,"ASM"
2019,NA,NA,NA,NA,"ASM"
2000,44,9.7,15.5,12.6,"ATG"
2001,44,9.5,15.1,12.3,"ATG"
2002,43,9.3,14.6,11.9,"ATG"
2003,44,8.9,14.1,11.5,"ATG"
2004,41,8.6,13.5,11,"ATG"
2005,40,8.2,12.9,10.6,"ATG"
2006,46,7.7,12.3,10.1,"ATG"
2007,48,7.3,11.7,9.6,"ATG"
2008,50,6.8,11.1,9.2,"ATG"
2009,45,6.3,10.6,8.7,"ATG"
2010,44,5.8,10,8.3,"ATG"
2011,43,5.4,9.5,7.9,"ATG"
2012,44,5.1,9,7.5,"ATG"
2013,43,4.7,8.5,7.1,"ATG"
2014,42,4.5,8.1,6.8,"ATG"
2015,43,4.2,7.8,6.5,"ATG"
2016,43,4.1,7.4,6.2,"ATG"
2017,42,3.9,7.1,6,"ATG"
2018,NA,3.8,6.9,5.8,"ATG"
2019,NA,3.6,6.6,5.6,"ATG"
2000,7,3.5,6.2,5.1,"AUS"
2001,6,3.5,6.1,5,"AUS"
2002,6,3.4,6,5,"AUS"
2003,6,3.4,5.9,4.9,"AUS"
2004,5,3.3,5.8,4.8,"AUS"
2005,5,3.2,5.7,4.8,"AUS"
2006,5,3.1,5.6,4.7,"AUS"
2007,5,3,5.4,4.5,"AUS"
2008,5,2.9,5.2,4.4,"AUS"
2009,5,2.8,5,4.2,"AUS"
2010,5,2.7,4.8,4,"AUS"
2011,6,2.6,4.5,3.8,"AUS"
2012,6,2.5,4.3,3.6,"AUS"
2013,6,2.4,4.1,3.5,"AUS"
2014,6,2.4,4,3.4,"AUS"
2015,6,2.3,3.9,3.3,"AUS"
2016,6,2.3,3.8,3.2,"AUS"
2017,6,2.3,3.8,3.2,"AUS"
2018,NA,2.3,3.7,3.2,"AUS"
2019,NA,2.4,3.7,3.2,"AUS"
2000,6,3.1,5.5,4.6,"AUT"
2001,6,3.1,5.4,4.5,"AUT"
2002,6,3.1,5.3,4.4,"AUT"
2003,6,3,5.2,4.3,"AUT"
2004,5,2.9,5.1,4.2,"AUT"
2005,6,2.8,4.9,4.1,"AUT"
2006,5,2.8,4.7,3.9,"AUT"
2007,5,2.7,4.6,3.8,"AUT"
2008,5,2.6,4.5,3.8,"AUT"
2009,5,2.6,4.5,3.7,"AUT"
2010,5,2.5,4.3,3.6,"AUT"
2011,5,2.4,4.2,3.5,"AUT"
2012,5,2.4,4,3.3,"AUT"
2013,5,2.3,3.9,3.2,"AUT"
2014,5,2.3,3.8,3.1,"AUT"
2015,5,2.2,3.7,3,"AUT"
2016,5,2.2,3.6,3,"AUT"
2017,5,2.2,3.6,2.9,"AUT"
2018,NA,2.2,3.6,2.9,"AUT"
2019,NA,2.3,3.6,2.9,"AUT"
2000,47,34.3,74.4,60.9,"AZE"
2001,44,32.8,69.3,57.2,"AZE"
2002,43,31.3,64.3,53.5,"AZE"
2003,44,29.8,59.7,50.1,"AZE"
2004,39,28.3,55.6,47,"AZE"
2005,42,26.8,51.9,44.1,"AZE"
2006,35,25.5,48.6,41.5,"AZE"
2007,34,24.1,45.5,39.1,"AZE"
2008,32,22.8,42.7,36.8,"AZE"
2009,32,21.6,39.9,34.7,"AZE"
2010,31,20.3,37.3,32.5,"AZE"
2011,30,18.8,34.9,30.5,"AZE"
2012,29,17.3,32.5,28.5,"AZE"
2013,28,16,30.3,26.7,"AZE"
2014,28,14.7,28.2,24.9,"AZE"
2015,27,13.5,26.3,23.3,"AZE"
2016,26,12.5,24.5,21.8,"AZE"
2017,26,11.7,22.8,20.3,"AZE"
2018,NA,10.9,21.5,19.2,"AZE"
2019,NA,10.4,20.4,18.2,"AZE"
2000,1010,36.6,154.5,94.7,"BDI"
2001,956,36,149.4,91.9,"BDI"
2002,925,35.4,143.8,88.9,"BDI"
2003,890,34.8,138.1,85.7,"BDI"
2004,844,34.1,131.9,82.3,"BDI"
2005,814,33.2,124.9,78.4,"BDI"
2006,785,32.3,117.6,74.4,"BDI"
2007,756,31.3,110.5,70.4,"BDI"
2008,733,30.2,103.6,66.5,"BDI"
2009,698,29.2,97.1,62.9,"BDI"
2010,665,28.2,91,59.4,"BDI"
2011,635,27.1,85.5,56.3,"BDI"
2012,608,26.1,80.3,53.4,"BDI"
2013,591,25.2,75.5,50.7,"BDI"
2014,576,24.4,71.3,48.2,"BDI"
2015,568,23.6,67.6,46.2,"BDI"
2016,558,23,64.4,44.4,"BDI"
2017,548,22.4,61.5,42.7,"BDI"
2018,NA,21.8,59,41.3,"BDI"
2019,NA,21.3,56.6,39.9,"BDI"
2000,8,3,5.8,4.8,"BEL"
2001,8,2.8,5.6,4.6,"BEL"
2002,7,2.8,5.4,4.4,"BEL"
2003,7,2.7,5.2,4.3,"BEL"
2004,7,2.7,5.1,4.2,"BEL"
2005,7,2.6,4.9,4,"BEL"
2006,7,2.6,4.8,4,"BEL"
2007,7,2.5,4.7,3.9,"BEL"
2008,7,2.5,4.6,3.8,"BEL"
2009,6,2.4,4.5,3.7,"BEL"
2010,6,2.3,4.4,3.6,"BEL"
2011,6,2.3,4.4,3.6,"BEL"
2012,6,2.3,4.3,3.5,"BEL"
2013,6,2.3,4.2,3.4,"BEL"
2014,6,2.3,4.1,3.3,"BEL"
2015,5,2.3,4.1,3.3,"BEL"
2016,5,2.3,4.1,3.3,"BEL"
2017,5,2.3,4.1,3.3,"BEL"
2018,NA,2.4,4.2,3.4,"BEL"
2019,NA,2.4,4.2,3.4,"BEL"
2000,520,39,136.8,85,"BEN"
2001,516,38.3,133.7,83.3,"BEN"
2002,511,37.6,130.5,81.5,"BEN"
2003,510,36.8,127.4,79.8,"BEN"
2004,505,36.2,124.4,78.2,"BEN"
2005,500,35.8,121.5,76.5,"BEN"
2006,493,35.3,118.8,75,"BEN"
2007,486,35,116.2,73.6,"BEN"
2008,480,34.6,113.7,72.2,"BEN"
2009,471,34.3,111.3,70.9,"BEN"
2010,464,33.9,109,69.6,"BEN"
2011,458,33.5,106.7,68.3,"BEN"
2012,450,33.1,104.4,67,"BEN"
2013,441,32.7,102.1,65.7,"BEN"
2014,432,32.3,99.8,64.4,"BEN"
2015,421,31.9,97.6,63.2,"BEN"
2016,408,31.5,95.4,61.9,"BEN"
2017,397,31.1,93.2,60.6,"BEN"
2018,NA,30.6,90.9,59.3,"BEN"
2019,NA,30.2,88.4,57.9,"BEN"
2000,516,40.7,178.9,90.9,"BFA"
2001,501,39.9,174.9,89.3,"BFA"
2002,486,39.2,170.4,87.6,"BFA"
2003,471,38.3,165.3,85.5,"BFA"
2004,454,37.2,159.5,83.3,"BFA"
2005,437,36,153.1,80.8,"BFA"
2006,422,34.8,146.3,78.1,"BFA"
2007,410,33.7,139.5,75.4,"BFA"
2008,401,32.7,132.9,72.7,"BFA"
2009,393,31.9,126.9,70.3,"BFA"
2010,385,31.2,121.5,68.1,"BFA"
2011,377,30.5,116.9,66.3,"BFA"
2012,369,29.9,112.5,64.4,"BFA"
2013,362,29.3,108.3,62.7,"BFA"
2014,353,28.8,104.5,61.2,"BFA"
2015,343,28.2,100.9,59.6,"BFA"
2016,331,27.7,97.5,58.2,"BFA"
2017,320,27.3,94.1,56.7,"BFA"
2018,NA,26.7,90.8,55.4,"BFA"
2019,NA,26.2,87.8,54.1,"BFA"
2000,434,44,86,63.1,"BGD"
2001,423,42.2,81.1,60,"BGD"
2002,410,40.4,76.5,57,"BGD"
2003,395,38.8,72.3,54.3,"BGD"
2004,372,37.3,68.3,51.8,"BGD"
2005,343,35.9,64.6,49.4,"BGD"
2006,315,34.5,61,47,"BGD"
2007,297,33.1,57.8,44.8,"BGD"
2008,280,31.8,54.7,42.7,"BGD"
2009,269,30.6,51.8,40.7,"BGD"
2010,258,29.4,49.1,38.9,"BGD"
2011,248,28.2,46.7,37.2,"BGD"
2012,238,27.1,44.4,35.6,"BGD"
2013,227,25.9,42.2,34,"BGD"
2014,214,24.8,40.1,32.5,"BGD"
2015,200,23.6,38.1,31,"BGD"
2016,186,22.4,36.1,29.6,"BGD"
2017,173,20.9,34.2,28.2,"BGD"
2018,NA,19.7,32.4,26.8,"BGD"
2019,NA,18.5,30.7,25.5,"BGD"
2000,19,7.9,17.5,14.4,"BGR"
2001,18,7.6,16.7,13.8,"BGR"
2002,17,7.3,15.9,13.2,"BGR"
2003,16,6.9,15.1,12.5,"BGR"
2004,16,6.4,14.2,11.8,"BGR"
2005,15,6,13.3,11,"BGR"
2006,14,5.6,12.4,10.3,"BGR"
2007,13,5.3,11.8,9.9,"BGR"
2008,13,5.2,11.4,9.5,"BGR"
2009,12,5.2,11.1,9.3,"BGR"
2010,12,5.1,10.8,9,"BGR"
2011,12,5,10.4,8.7,"BGR"
2012,11,4.8,9.8,8.2,"BGR"
2013,10,4.5,9.3,7.8,"BGR"
2014,11,4.3,8.7,7.3,"BGR"
2015,10,4.1,8.2,6.9,"BGR"
2016,10,3.9,7.7,6.5,"BGR"
2017,10,3.7,7.3,6.1,"BGR"
2018,NA,3.4,7,5.8,"BGR"
2019,NA,3.2,6.6,5.5,"BGR"
2000,27,4.7,12.5,10.7,"BHR"
2001,19,4.4,12,10.3,"BHR"
2002,25,4.1,11.6,10,"BHR"
2003,21,3.9,11.3,9.7,"BHR"
2004,21,3.7,11,9.4,"BHR"
2005,19,3.6,10.6,9.1,"BHR"
2006,24,3.4,10.2,8.8,"BHR"
2007,16,3.3,9.8,8.4,"BHR"
2008,18,3.2,9.3,8,"BHR"
2009,19,3.2,8.9,7.6,"BHR"
2010,18,3.2,8.5,7.3,"BHR"
2011,15,3.2,8.2,7,"BHR"
2012,18,3.2,8,6.8,"BHR"
2013,17,3.2,7.8,6.7,"BHR"
2014,15,3.2,7.7,6.6,"BHR"
2015,15,3.2,7.6,6.5,"BHR"
2016,15,3.2,7.5,6.4,"BHR"
2017,14,3.1,7.3,6.3,"BHR"
2018,NA,3.1,7.1,6.1,"BHR"
2019,NA,3,7,5.9,"BHR"
2000,75,8,16.3,13.9,"BHS"
2001,76,8.2,16.4,14,"BHS"
2002,78,8.3,16.5,14.1,"BHS"
2003,79,8.5,16.7,14.3,"BHS"
2004,78,8.6,16.8,14.4,"BHS"
2005,77,8.7,16.8,14.4,"BHS"
2006,78,8.7,16.7,14.3,"BHS"
2007,77,8.6,16.5,14.1,"BHS"
2008,77,8.5,16.2,13.9,"BHS"
2009,78,8.3,15.9,13.6,"BHS"
2010,78,8.1,15.6,13.3,"BHS"
2011,78,7.9,15.2,13,"BHS"
2012,78,7.8,14.9,12.8,"BHS"
2013,78,7.7,14.6,12.5,"BHS"
2014,77,7.5,14.3,12.2,"BHS"
2015,74,7.4,14,12,"BHS"
2016,72,7.3,13.7,11.7,"BHS"
2017,70,7.2,13.3,11.4,"BHS"
2018,NA,7,13,11.2,"BHS"
2019,NA,6.9,22.4,14.5,"BHS"
2000,17,6.9,9.9,8.7,"BIH"
2001,16,6.5,9.6,8.4,"BIH"
2002,14,6.2,9.3,8.2,"BIH"
2003,14,5.9,9.2,8.1,"BIH"
2004,14,5.7,9.1,7.9,"BIH"
2005,13,5.5,8.9,7.8,"BIH"
2006,13,5.4,8.6,7.5,"BIH"
2007,13,5.3,8.3,7.2,"BIH"
2008,11,5.3,7.9,6.9,"BIH"
2009,11,5.2,7.5,6.6,"BIH"
2010,11,5.1,7.2,6.3,"BIH"
2011,10,5,6.9,6,"BIH"
2012,10,4.9,6.7,5.8,"BIH"
2013,10,4.8,6.5,5.6,"BIH"
2014,10,4.7,6.4,5.5,"BIH"
2015,10,4.6,6.3,5.4,"BIH"
2016,10,4.5,6.2,5.3,"BIH"
2017,10,4.4,6.1,5.3,"BIH"
2018,NA,4.3,6,5.2,"BIH"
2019,NA,4.2,5.9,5.1,"BIH"
2000,22,6,12.7,9.9,"BLR"
2001,19,5.5,11.8,9.2,"BLR"
2002,18,5,10.9,8.5,"BLR"
2003,15,4.5,10.1,7.8,"BLR"
2004,13,4,9.4,7.3,"BLR"
2005,11,3.5,8.7,6.7,"BLR"
2006,9,3,8,6.2,"BLR"
2007,7,2.6,7.3,5.6,"BLR"
2008,6,2.2,6.6,5.1,"BLR"
2009,6,2,6.1,4.6,"BLR"
2010,5,1.8,5.6,4.3,"BLR"
2011,5,1.7,5.2,3.9,"BLR"
2012,4,1.7,4.9,3.7,"BLR"
2013,3,1.7,4.6,3.5,"BLR"
2014,3,1.6,4.3,3.3,"BLR"
2015,3,1.6,4.1,3.1,"BLR"
2016,3,1.5,3.9,2.9,"BLR"
2017,2,1.4,3.6,2.7,"BLR"
2018,NA,1.2,3.4,2.5,"BLR"
2019,NA,1.1,3.1,2.4,"BLR"
2000,89,12,23.6,20,"BLZ"
2001,88,11.6,22.8,19.4,"BLZ"
2002,82,11.1,22.2,18.9,"BLZ"
2003,80,10.6,21.7,18.5,"BLZ"
2004,75,10,21.3,18.2,"BLZ"
2005,70,9.4,20.9,17.9,"BLZ"
2006,65,8.7,20.6,17.6,"BLZ"
2007,61,8.4,20.3,17.3,"BLZ"
2008,59,8.4,19.9,17,"BLZ"
2009,57,8.7,19.4,16.6,"BLZ"
2010,54,9.3,18.9,16.2,"BLZ"
2011,52,10,18.3,15.7,"BLZ"
2012,50,10.4,17.7,15.2,"BLZ"
2013,48,10.5,16.9,14.6,"BLZ"
2014,46,10.4,16.1,13.9,"BLZ"
2015,43,10.1,15.3,13.2,"BLZ"
2016,39,9.6,14.5,12.5,"BLZ"
2017,36,9.1,13.7,11.8,"BLZ"
2018,NA,8.6,12.9,11.1,"BLZ"
2019,NA,8.1,12.3,10.6,"BLZ"
2000,NA,NA,NA,NA,"BMU"
2001,NA,NA,NA,NA,"BMU"
2002,NA,NA,NA,NA,"BMU"
2003,NA,NA,NA,NA,"BMU"
2004,NA,NA,NA,NA,"BMU"
2005,NA,NA,NA,NA,"BMU"
2006,NA,NA,NA,NA,"BMU"
2007,NA,NA,NA,NA,"BMU"
2008,NA,NA,NA,NA,"BMU"
2009,NA,NA,NA,NA,"BMU"
2010,NA,NA,NA,NA,"BMU"
2011,NA,NA,NA,NA,"BMU"
2012,NA,NA,NA,NA,"BMU"
2013,NA,NA,NA,NA,"BMU"
2014,NA,NA,NA,NA,"BMU"
2015,NA,NA,NA,NA,"BMU"
2016,NA,NA,NA,NA,"BMU"
2017,NA,NA,NA,NA,"BMU"
2018,NA,NA,NA,NA,"BMU"
2019,NA,NA,NA,NA,"BMU"
2000,331,29.6,75.6,55.9,"BOL"
2001,320,28.7,71.3,53.1,"BOL"
2002,309,28,67.2,50.4,"BOL"
2003,297,27.4,63.3,47.8,"BOL"
2004,283,26.8,59.6,45.4,"BOL"
2005,271,26.2,56.2,43.1,"BOL"
2006,258,25.5,52.9,40.8,"BOL"
2007,246,24.7,49.8,38.7,"BOL"
2008,234,23.7,46.9,36.7,"BOL"
2009,222,22.8,44.1,34.8,"BOL"
2010,212,21.8,41.6,33,"BOL"
2011,202,20.8,39.2,31.2,"BOL"
2012,192,19.9,37,29.6,"BOL"
2013,184,18.7,34.9,28,"BOL"
2014,175,17.6,33,26.6,"BOL"
2015,168,16.7,31.3,25.4,"BOL"
2016,161,15.9,29.9,24.3,"BOL"
2017,155,15.2,28.6,23.2,"BOL"
2018,NA,14.6,27.4,22.3,"BOL"
2019,NA,14,26.3,21.5,"BOL"
2000,69,18.5,34.7,30.4,"BRA"
2001,68,17.6,32.5,28.5,"BRA"
2002,69,16.7,30.4,26.8,"BRA"
2003,70,15.8,28.4,25.1,"BRA"
2004,71,15,26.5,23.5,"BRA"
2005,71,14.2,24.8,22,"BRA"
2006,72,13.5,23.2,20.7,"BRA"
2007,71,12.8,21.8,19.5,"BRA"
2008,70,12.2,20.6,18.4,"BRA"
2009,69,11.6,19.5,17.5,"BRA"
2010,65,11.1,18.6,16.7,"BRA"
2011,61,10.7,17.9,16,"BRA"
2012,60,10.3,17.2,15.4,"BRA"
2013,61,10,16.7,14.9,"BRA"
2014,62,9.7,16.3,14.6,"BRA"
2015,63,9.5,15.9,14.2,"BRA"
2016,62,10,16.7,15,"BRA"
2017,60,9.3,15.4,13.8,"BRA"
2018,NA,9.2,15.2,13.6,"BRA"
2019,NA,8.9,14.9,13.3,"BRA"
2000,50,9.3,15.1,13.7,"BRB"
2001,48,9.3,15.3,14,"BRB"
2002,47,9.5,15.5,14.2,"BRB"
2003,45,9.6,15.7,14.3,"BRB"
2004,43,9.8,15.7,14.4,"BRB"
2005,42,9.9,15.7,14.4,"BRB"
2006,41,10,15.6,14.3,"BRB"
2007,40,10.1,15.4,14.2,"BRB"
2008,39,10.1,15.3,14.1,"BRB"
2009,38,10,15.1,13.9,"BRB"
2010,36,10,15,13.8,"BRB"
2011,35,9.9,14.8,13.7,"BRB"
